Severity,Domain,Notice_Type,Component,Issue_Description,Statutory_Reference,File_Path,Line_Numbers,Remediation_Priority
HIGH,Statutory Compliance,Gambling - Transfer,Template Renderer,Missing 14-day determination period statement for transfer applications,Gambling Act 2005 Schedule 9 Part 8 para 35,/src/next/publish/templates/gambling.ts,33-37; 60-64; 88-92; 116-120,Short-term
HIGH,Statutory Compliance,Gambling - Review,Schema Validation,Missing applicant category validation (LA / RA / interested party),Gambling Act 2005 ss.157-158,/src/next/publish/schema/gambling.ts,Schema definition,Short-term
HIGH,Statutory Compliance,GVOL - Variation,Schema Fields,Missing existing licence number field for variation applications,Goods Vehicles (Licensing of Operators) Regulations 1995 Reg 3,/src/next/publish/schema/gvol.ts,Schema definition,Short-term
HIGH,Statutory Compliance,Planning - EIA Development,Template Renderer + Schema,Missing environmental statement inspection location and times,EIA Regulations 2017 Reg 19(3),/src/next/publish/templates/planning.ts + /src/next/publish/schema/planning.ts,37-42,Short-term
HIGH,Statutory Compliance,Probate - Trustee Act s.27,Schema Validation,Only one alias field - should support multiple known names,Estate administration best practice,/src/next/publish/schema/probate.ts,9-12,Short-term
HIGH,Workflow Integrity,Licensing & Gambling,Schema Validation,No validation for newspaper circulation in vicinity of premises,Licensing Act 2003 Reg 25(2)(b); Gambling Act 2005 Sch 9 para 10(2),/src/next/publish/schema/licensing.ts + /src/next/publish/schema/gambling.ts,Schema definition,Short-term
HIGH,Data Protection,All Notice Types,User Guidance,No redaction guidance for personal data in public notices (GDPR compliance),UK GDPR Article 5(1)(c),User documentation / wizard flow,UX enhancement needed,Short-term
HIGH,Professional Readiness,All Notice Types,Template Management,No template versioning or change control system,Regulatory change management requirement,/src/next/publish/config/noticeTypes.ts,System architecture,Short-term
MEDIUM,Wording & Presentation,Licensing - All Types,Validation Rules,28-day consultation message could clarify that period starts day after application,Licensing Act 2003 Regulations 2005 Reg 26(2),/src/next/publish/validation/windowRules.ts,78-85,Short-term
MEDIUM,Statutory Compliance,Licensing - Premises New,Validation Rules,10-working-day newspaper window calculation may be off by one day,Licensing Act 2003 Regulations 2005 Reg 25(2)(a),/src/next/publish/validation/windowRules.ts,87-95,Short-term
MEDIUM,Statutory Compliance,GVOL - All Types,Validation Rules,Validation incorrectly requires exactly 21 days - should be minimum 21 days,Goods Vehicles (Licensing of Operators) Regulations 1995 Reg 3(3),/src/next/publish/validation/windowRules.ts,134-143,Short-term
MEDIUM,Wording & Presentation,Planning - Departure,Template Renderer,Template does not explain what departure from development plan means,Town and Country Planning (DMP) Order 2015 Art 15,/src/next/publish/templates/planning.ts,65-70,Short-term
MEDIUM,Statutory Compliance,Planning - EIA Development,Validation Rules,EIA consultation calculation should verify 30 days from publication not application,EIA Regulations 2017 Reg 19(3)(e),/src/next/publish/validation/windowRules.ts,146-156,Short-term
MEDIUM,Wording & Presentation,Probate - Trustee Act s.27,Validation Rules,Validation message should clarify two months is minimum (3-6 months common),Trustee Act 1925 s.27(2),/src/next/publish/validation/windowRules.ts,159-171,Short-term
MEDIUM,Workflow Integrity,All Notice Types,OCR Extraction,No automatic calculation of representation deadlines from application dates,Efficiency and accuracy improvement,/src/next/publish/flow/lib/legalDetails.ts,393-499,Desirable
MEDIUM,Workflow Integrity,All Notice Types,Draft Management,No warning when draft application date has passed or publication window closing,User experience and compliance risk,/src/wizard/draftStore.ts,Draft loading logic,Desirable
MEDIUM,Evidence & Audit Trail,All Notice Types,Database Schema,No cryptographic hash of published notice text for legal evidence,Best practice for evidentiary value,/supabase/migrations/20251021000002_notices_enhanced.sql,Schema enhancement,Desirable
MEDIUM,Professional Readiness,Licensing & Gambling,User Guidance,No in-app guidance on interested party vs responsible authority definitions,Licensing Act 2003 ss.13 & 69; Gambling Act 2005 ss.157-158,User documentation / wizard help text,UX enhancement,Desirable
LOW,Professional Readiness,All Notice Types,System Architecture,No REST API for integration with council case management systems,Enterprise adoption requirement,Platform architecture,Future enhancement
LOW,Wording & Presentation,Licensing - All Types,Template Renderer,DPS licensing authority field exists in schema but not used in new template,Completeness improvement,/src/next/publish/templates/licensing.ts,Line 25,Desirable
