Issue_ID,Priority,Title,Domain,Affected_Files,Effort_Days,Status,Assigned_To,Start_Date,Target_Completion_Date,Actual_Completion_Date,Test_Status,Legal_Review_Required,Legal_Review_Status,Blocker,Notes,Branch_Name,PR_Link,Milestone,Week_Number
HIGH-011,HIGH,"Gambling - Add 14-day transfer determination period",Gambling Act 2005,src/next/publish/templates/gambling.ts,0.5,Not Started,,,,,Not Started,No,Not Started,,"4 transfer templates need para 35 reference",feat/high-011-transfer-period,,2,4
HIGH-012,HIGH,"Gambling - Add review applicant category field",Gambling Act 2005,src/next/publish/schema/gambling.ts,0.5,Not Started,,,,,Not Started,No,Not Started,,"Enum field per ss.157-158",feat/high-012-review-category,,2,4
HIGH-013,HIGH,"GVOL - Add existing licence number field for variations",GVOL,"src/next/publish/schema/gvol.ts, src/next/publish/templates/gvol.ts",0.5,Not Started,,,,,Not Started,No,Not Started,CRIT-005,"Optional field for variation notices",feat/high-013-licence-number,,2,4
HIGH-014,HIGH,"Planning EIA - Add environmental statement inspection details",Planning,"src/next/publish/schema/planning.ts, src/next/publish/templates/planning.ts",1,Not Started,,,,,Not Started,No,Not Started,,"Location and times per EIA Reg 19(3)",feat/high-014-eia-inspection,,3,5
HIGH-015,HIGH,"Licensing & Gambling - Add newspaper circulation validation",Workflow,"src/next/publish/schema/licensing.ts, src/next/publish/schema/gambling.ts, src/next/publish/flow/steps/ConfirmStep.tsx",1.5,Not Started,,,,,Not Started,Yes,Not Started,,"Mandatory confirmation per Reg 25(2)(b)",feat/high-015-newspaper-validation,,3,6
HIGH-016,HIGH,"Data Protection - Add GDPR redaction guidance component",Data Protection,"src/next/publish/flow/components/PrivacyGuidance.tsx, src/next/publish/flow/steps/ConfirmStep.tsx",0.5,Not Started,,,,,Not Started,No,Not Started,,"Data minimisation per UK GDPR Art 5(1)(c)",feat/high-016-gdpr-guidance,,3,6
HIGH-017,HIGH,"Template Versioning - Create database schema and tracking",Professional Readiness,"supabase/migrations/20251105000001_template_versioning.sql, server/services/templateVersioning.ts",3,Not Started,,,,,Not Started,No,Not Started,,"Critical for regulatory change management",feat/high-017-template-versioning,,4,7
HIGH-018,HIGH,"Planning Departure - Add explanation text",Planning,src/next/publish/templates/planning.ts,0.25,Not Started,,,,,Not Started,No,Not Started,,"Explain development plan departure per DMP Order Art 15",feat/high-018-departure-explanation,,4,8
MED-019,MEDIUM,"Licensing - Fix 28-day consultation validation message",Validation,src/next/publish/validation/windowRules.ts,0.25,Not Started,,,,,Not Started,No,Not Started,,"Clarify consecutive days calculation",chore/med-019-28-day-message,,4,7
MED-020,MEDIUM,"Licensing - Fix 10-working-day calculation off-by-one error",Validation,src/next/publish/validation/windowRules.ts,0.25,Not Started,,,,,Not Started,No,Not Started,,"Start date should be day after application",chore/med-020-10-day-fix,,4,7
MED-021,MEDIUM,"GVOL - Fix 21-day validation to minimum not exact",Validation,src/next/publish/validation/windowRules.ts,0.25,Not Started,,,,,Not Started,No,Not Started,,"Change !== to < for minimum requirement",chore/med-021-21-day-minimum,,4,7
MED-022,MEDIUM,"Planning EIA - Verify 30-day consultation calculation",Validation,src/next/publish/validation/windowRules.ts,0.5,Not Started,,,,,Not Started,No,Not Started,,"Ensure period calculated from publication date",chore/med-022-eia-calculation,,4,7
MED-023,MEDIUM,"Probate - Clarify two-month minimum period",Validation,src/next/publish/validation/windowRules.ts,0.25,Not Started,,,,,Not Started,No,Not Started,,"Update message to state minimum",chore/med-023-probate-minimum,,4,7
MED-024,MEDIUM,"OCR - Auto-calculate representation deadlines from notice type",Workflow,src/next/publish/flow/lib/legalDetails.ts,1,Not Started,,,,,Not Started,No,Not Started,,"Calculate based on statutory periods by type",chore/med-024-ocr-deadlines,,4,7
MED-025,MEDIUM,"Draft Management - Add expiry warnings for old drafts",Workflow,src/wizard/draftStore.ts,1,Not Started,,,,,Not Started,No,Not Started,,"Warn if application date > 9 working days old",chore/med-025-draft-expiry,,4,8
MED-026,MEDIUM,"Audit Trail - Add publication hash for legal evidence",Professional Readiness,supabase/migrations/20251105000002_publication_hash.sql,1,Not Started,,,,,Not Started,No,Not Started,HIGH-017,"SHA-256 hash trigger on publication",chore/med-026-publication-hash,,4,8
DES-027,DESIRABLE,"Probate - Support multiple aliases for deceased",Enhancement,src/next/publish/schema/probate.ts,1,Not Started,,,,,Not Started,No,Not Started,,"Change alias field to array",feat/des-027-multiple-aliases,,Post-launch,
DES-028,DESIRABLE,"Licensing - Add interested party vs RA guidance tooltip",UX,src/next/publish/flow/components/GuidanceTooltip.tsx,0.5,Not Started,,,,,Not Started,No,Not Started,,"Help users distinguish representation types",feat/des-028-ra-guidance,,Post-launch,
DES-029,DESIRABLE,"REST API - Create public API for notice submission",Integration,"server/routes/api/v1/notices.ts, docs/API_DOCUMENTATION.md",15,Not Started,,,,,Not Started,No,Not Started,,"Enable third-party integrations",feat/des-029-rest-api,,Post-launch,
DES-030,DESIRABLE,"Bulk Operations - Add CSV import and Excel export",Workflow,"server/routes/bulk.ts, src/pages/council/BulkImport.tsx",5,Not Started,,,,,Not Started,No,Not Started,,"Support bulk notice creation",feat/des-030-bulk-operations,,Post-launch,
DES-031,DESIRABLE,"White-Label - Add per-organization branding",Enterprise,"server/services/branding.ts, src/components/layout/BrandedLayout.tsx",5,Not Started,,,,,Not Started,No,Not Started,,"Custom logos and colors per council",feat/des-031-white-label,,Post-launch,
DES-032,DESIRABLE,"Developer Docs - Create API documentation and integration guides",Documentation,"docs/API_REFERENCE.md, docs/INTEGRATION_GUIDE.md",2,Not Started,,,,,Not Started,No,Not Started,DES-029,"Depends on REST API completion",docs/des-032-developer-docs,,Post-launch,
