Issue_ID,Severity,Domain,Notice_Type,Component,Issue_Description,Statutory_Reference,File_Path,Line_Numbers,Remediation_Priority,Audit_Status,Audit_Date,Evidence_Location,Auditor_Notes,Compliance_Risk
HIGH-011,HIGH,Statutory Compliance,Gambling - Transfer (4 types),Template Renderer,Missing 14-day determination period statement for transfer applications,Gambling Act 2005 Schedule 9 Part 8 para 35,/src/next/publish/templates/gambling.ts,"32-37, 60-65, 88-93, 116-121",Short-term,NOT AUDITED,2025-11-04,Templates exist but not reviewed for transfer period wording,Spot check confirms no 14-day statement in transfer templates,MEDIUM - Missing procedural guidance
HIGH-012,HIGH,Statutory Compliance,Gambling - Review,Schema Validation,Missing applicant category validation (LA / RA / interested party),Gambling Act 2005 ss.157-158,/src/next/publish/schema/gambling.ts,Schema definition,Short-term,NOT AUDITED,2025-11-04,Schema not fully reviewed in baseline audit,Requires schema field REVIEW_APPLICANT_CATEGORY enum,MEDIUM - Data quality issue
HIGH-013,HIGH,Statutory Compliance,GVOL - Variation,Schema Fields,Missing existing licence number field for variation applications,Goods Vehicles (Licensing of Operators) Regulations 1995 Reg 3,/src/next/publish/schema/gvol.ts,Schema definition,Short-term,NOT AUDITED,2025-11-04,Schema not fully reviewed in baseline audit,Optional field for variation notices; improves clarity,LOW - Not mandatory but professional
HIGH-014,HIGH,Statutory Compliance,Planning - EIA Development,Template Renderer + Schema,Missing environmental statement inspection location and times,EIA Regulations 2017 Reg 19(3),/src/next/publish/templates/planning.ts + /src/next/publish/schema/planning.ts,37-42,Short-term,NOT AUDITED,2025-11-04,Planning template exists but ES fields not reviewed,Reg 19(3) requires specific ES inspection details,MEDIUM - Statutory requirement
HIGH-015,HIGH,Workflow Integrity,Licensing & Gambling,Schema Validation,No validation for newspaper circulation in vicinity of premises,Licensing Act 2003 Reg 25(2)(b); Gambling Act 2005 Sch 9 para 10(2),/src/next/publish/schema/licensing.ts + /src/next/publish/schema/gambling.ts,Schema definition,Short-term,RETEST,2025-11-04,COMPLIANCE_VALIDATION_REPORT.md Lines 500-527,Validation exists for rep contact (lines 96-101 windowRules.ts) but newspaper fields not confirmed in schema,MEDIUM - Confirmation enforcement needed
HIGH-016,HIGH,Data Protection,All Notice Types,User Guidance,No redaction guidance for personal data in public notices (GDPR compliance),UK GDPR Article 5(1)(c),User documentation / wizard flow,UX enhancement needed,Short-term,FAIL,2025-11-04,COMPLIANCE_VALIDATION_REPORT.md Lines 795-825,No visible GDPR guidance component in wizard; users may publish home addresses/personal emails,MEDIUM - Data protection risk
HIGH-017,HIGH,Professional Readiness,All Notice Types,Template Management,No template versioning or change control system,Regulatory change management requirement,/src/next/publish/config/noticeTypes.ts,System architecture,Short-term,NOT AUDITED,2025-11-04,Database schema not reviewed; feature not testable in baseline audit,Critical for regulatory change management and audit trail,MEDIUM - Professional standard
HIGH-018,HIGH,Wording & Presentation,Planning - Departure,Template Renderer,Template does not explain what departure from development plan means,Town and Country Planning (DMP) Order 2015 Art 15,/src/next/publish/templates/planning.ts,65-70,Short-term,NOT AUDITED,2025-11-04,Template exists but explanatory text not reviewed,Should state departure means non-conformity with dev plan,LOW - Clarity enhancement
MED-019,MEDIUM,Wording & Presentation,Licensing - All Types,Validation Rules,28-day consultation message could clarify that period starts day after application,Licensing Act 2003 Regulations 2005 Reg 26(2),/src/next/publish/validation/windowRules.ts,78-85,Short-term,ACCEPTABLE,2025-11-04,COMPLIANCE_VALIDATION_REPORT.md Lines 532-554,"Current: ""at least 28 days after application date"" - legally accurate but could be more precise per Reg 26(2)",LOW - Minor clarity improvement
MED-020,MEDIUM,Statutory Compliance,Licensing - Premises New,Validation Rules,10-working-day newspaper window calculation may be off by one day,Licensing Act 2003 Regulations 2005 Reg 25(2)(a),/src/next/publish/validation/windowRules.ts,87-95,Short-term,APPEARS CORRECT,2025-11-04,COMPLIANCE_VALIDATION_REPORT.md Lines 556-586,"Code checks workingDays > 10; allows up to day 10; NEEDS UNIT TEST to confirm businessDaysBetween() behavior",LOW - Likely correct; verify with test
MED-021,MEDIUM,Statutory Compliance,GVOL - All Types,Validation Rules,Validation incorrectly requires exactly 21 days - should be minimum 21 days,Goods Vehicles (Licensing of Operators) Regulations 1995 Reg 3(3),/src/next/publish/validation/windowRules.ts,135-143,Short-term,FAIL,2025-11-04,COMPLIANCE_VALIDATION_REPORT.md Lines 588-617,"Line 137: if (diff !== 21) enforces EXACT; regulation says ""not less than 21 days"" (minimum)",MEDIUM - Prevents valid 22+ day notices
MED-022,MEDIUM,Statutory Compliance,Planning - EIA Development,Validation Rules,EIA consultation calculation should verify 30 days from publication not application,EIA Regulations 2017 Reg 19(3)(e),/src/next/publish/validation/windowRules.ts,146-156,Short-term,NEEDS VERIFICATION,2025-11-04,COMPLIANCE_VALIDATION_REPORT.md Lines 619-651,"Line 148: uses applicationDate; Reg 19(3)(e) says ""from date notice published""; may need publicationDate",MEDIUM - If wrong; HIGH impact for EIA
MED-023,MEDIUM,Wording & Presentation,Probate - Trustee Act s.27,Validation Rules,Validation message should clarify two months is minimum (3-6 months common),Trustee Act 1925 s.27(2),/src/next/publish/validation/windowRules.ts,159-171,Short-term,CORRECT,2025-11-04,COMPLIANCE_VALIDATION_REPORT.md Lines 653-665,"Line 167: message says ""at least two months"" - already states minimum",VERY LOW - Already correct
MED-024,MEDIUM,Workflow Integrity,All Notice Types,OCR Extraction,No automatic calculation of representation deadlines from application dates,Efficiency and accuracy improvement,/src/next/publish/flow/lib/legalDetails.ts,393-499,Desirable,NOT AUDITED,2025-11-04,OCR logic not reviewed in baseline audit; workflow enhancement,Would reduce manual errors by auto-calculating statutory deadlines,LOW - Nice to have; not compliance issue
MED-025,MEDIUM,Workflow Integrity,All Notice Types,Draft Management,No warning when draft application date has passed or publication window closing,User experience and compliance risk,/src/wizard/draftStore.ts,Draft loading logic,Desirable,NOT AUDITED,2025-11-04,Draft store not reviewed in baseline audit; UX enhancement,Prevents publishing stale notices with expired deadlines,LOW - UX improvement
MED-026,MEDIUM,Evidence & Audit Trail,All Notice Types,Database Schema,No cryptographic hash of published notice text for legal evidence,Best practice for evidentiary value,/supabase/migrations/,Schema enhancement,Desirable,NOT AUDITED,2025-11-04,Database schema not reviewed in baseline audit; professional standard,SHA-256 hash provides tamper-evident audit trail,LOW - Best practice; not legally required
DES-027,LOW,Professional Readiness,Probate - Trustee Act s.27,Schema Enhancement,Only one alias field - should support multiple known names,Estate administration best practice,/src/next/publish/schema/probate.ts,Schema definition,Post-launch,NOT AUDITED,2025-11-04,Schema not reviewed; usability enhancement,Probate line 10: DECEASED_ALIAS (singular); should be array for multiple aliases,VERY LOW - Quality of life
DES-028,LOW,UX Enhancement,Licensing & Gambling,User Guidance,No in-app guidance on interested party vs responsible authority definitions,Licensing Act 2003 ss.13 & 69; Gambling Act 2005 ss.157-158,User documentation / wizard help text,Post-launch,NOT AUDITED,2025-11-04,UI not reviewed in baseline audit; help text enhancement,Tooltip or modal to explain terminology differences,VERY LOW - Training/support material
DES-029,LOW,Integration,All Notice Types,API Development,No REST API for integration with council case management systems,Enterprise adoption requirement,Platform architecture,Post-launch,NOT AUDITED,2025-11-04,Not in scope for baseline audit; enterprise feature,Third-party integrations require public API endpoints,VERY LOW - Future revenue opportunity
DES-030,LOW,Workflow Enhancement,All Notice Types,Bulk Operations,No bulk import/export for high-volume notice creation,Operational efficiency,Platform features,Post-launch,NOT AUDITED,2025-11-04,Not in scope for baseline audit; enterprise feature,CSV import; Excel export for councils with many notices,VERY LOW - Scaling feature
DES-031,LOW,Enterprise Feature,All Notice Types,White-Label Branding,No per-organization branding (logos; colors),Enterprise adoption,Platform customization,Post-launch,NOT AUDITED,2025-11-04,Not in scope for baseline audit; enterprise feature,Councils want platform to match their corporate branding,VERY LOW - Sales differentiator
DES-032,LOW,Documentation,All Notice Types,Developer Docs,No API documentation and integration guides,Developer experience,Documentation,Post-launch,NOT AUDITED,2025-11-04,Not in scope for baseline audit; depends on DES-029 API,OpenAPI spec; integration examples; SDKs,VERY LOW - Depends on API completion
